"","dist","sex","id","road_residence_count","powerline_residence_count","move"
"1",79.1303355231233,"male","01",0,0,1
"3",53.183644102299,"male","01",0,0,1
"4",0,"male","01",0,0,0
"5",99.0580637807947,"male","01",0,0,1
"6",2.23606797749979,"male","01",0,0,1
"7",30.4138126514911,"male","01",0,0,1
"8",1.4142135623731,"male","01",0,0,1
"11",11.7046999107196,"male","01",0,0,1
"12",11.7046999107196,"male","01",1,0,1
"13",8.06225774829855,"male","01",0,0,1
"14",13.4164078649987,"male","01",0,0,1
"15",6,"male","01",0,0,1
"16",5.09901951359278,"male","01",1,0,1
"17",1.4142135623731,"male","01",0,0,1
"21",0,"male","01",0,0,0
"23",13.4164078649987,"male","01",0,0,1
"26",0,"male","01",0,0,0
"29",25.7390753524675,"male","01",0,0,1
"33",69.1176533166455,"male","01",0,0,1
"36",40.0312378024962,"male","01",0,0,1
"39",81.9054332752108,"male","01",0,0,1
"52",0,"male","01",0,0,0
"57",0,"male","01",0,0,0
"60",0,"male","01",0,0,0
"64",30.8172029880282,"male","01",0,0,1
"70",0,"male","01",1,0,0
"386",7.81024967590665,"male","02",0,0,1
"513",7,"male","02",1,0,1
"316",16.9779268463496,"male","02",0,0,1
"401",7.5,"male","02",1,0,1
"405",0,"male","02",1,0,0
"311",9.21954445729289,"male","02",1,0,1
"367",181.176709319934,"male","02",0,0,1
"373",55.7314991723711,"male","02",0,0,1
"304",0,"male","02",0,0,0
"336",0,"male","02",0,0,0
"422",0,"male","02",0,0,0
"423",20.5060966544099,"male","02",0,0,1
"425",129.46234973922,"male","02",0,0,1
"313",0,"male","02",0,0,0
"349",0,"male","02",0,0,0
"509",0,"male","02",0,0,0
"353",0,"male","02",0,0,0
"299",14.5344418537486,"male","02",0,0,1
"408",0,"male","02",0,0,0
"536",17.6567267638417,"female","03",0,0,1
"544",0,"female","03",1,0,0
"591",0,"female","03",1,0,0
"538",0,"female","03",1,0,0
"534",0,"female","03",1,0,0
"586",0,"female","03",1,0,0
"590",0,"female","03",1,0,0
"549",0,"female","03",1,0,0
"594",0,"female","03",1,0,0
"612",0,"female","03",1,0,0
"600",65.9474032843769,"female","03",1,0,1
"601",44.5926002830066,"female","03",0,0,1
"564",27.170756338387,"female","03",1,0,1
"593",0,"female","03",1,0,0
"608",0,"female","03",1,0,0
"625",0,"female","03",1,0,0
"537",0,"female","03",1,0,0
"552",11.0453610171873,"female","03",1,0,1
"629",11.0453610171873,"female","03",1,0,1
"94",0,"male","01",0,0,0
"97",0,"male","01",0,0,0
"106",13.2003787824441,"male","01",0,0,1
"109",44.0113621693308,"male","01",0,0,1
"115",0,"male","01",0,0,0
"118",0,"male","01",0,0,0
"120",0,"male","01",0,0,0
"124",0,"male","01",0,0,0
"127",0,"male","01",0,0,0
"130",0,"male","01",0,0,0
"136",11,"male","01",0,0,1
"140",41.0487515035476,"male","01",0,0,1
"141",0,"male","01",0,0,0
"144",0,"male","01",0,0,0
"147",0,"male","01",0,0,0
"150",7.43303437365925,"male","01",0,0,1
"114",48.0234317807464,"male","01",0,0,1
"157",138.852439661678,"male","01",0,0,1
"89",4.42831796525674,"male","01",0,0,1
"38",0,"male","01",1,0,0
"40",10.647065322994,"male","01",1,0,1
"164",100.086212836734,"male","01",1,0,1
